191,23,Concórdia do Pará,02756
192,23,Cumaru do Norte,02764
193,23,Curionópolis,02772
194,23,Curralinho,02806
195,23,Curuá,02855
196,23,Curuçá,02905
197,23,Dom Eliseu,02939
198,23,Eldorado do Carajás,02954
199,23,Faro,03002
200,23,Floresta do Araguaia,03044
201,23,Garrafão do Norte,03077
202,23,Goianésia do Pará,03093
203,23,Gurupá,03101
204,23,Igarapé-Açu,03200
205,23,Igarapé-Miri,03309
206,23,Inhangapi,03408
207,23,Ipixuna do Pará,03457
208,23,Irituia,03507
209,23,Itaituba,03606
210,23,Itupiranga,03705
211,23,Jacareacanga,03754
212,23,Jacundá,03804
213,23,Juruti,03903
214,23,Limoeiro do Ajuru,04000
215,23,Mãe do Rio,04059
216,23,Magalhães Barata,04109
217,23,Marabá,04208
218,23,Maracanã,04307
219,23,Marapanim,04406
220,23,Marituba,04422
221,23,Medicilândia,04455
222,23,Melgaço,04505
223,23,Mocajuba,04604
224,23,Moju,04703
225,23,Mojuí dos Campos,04752
226,23,Monte Alegre,04802
227,23,Muaná,04901
228,23,Nova Esperança do Piriá,04950
229,23,Nova Ipixuna,04976
230,23,Nova Timboteua,05007
231,23,Novo Progresso,05031
232,23,Novo Repartimento,05064
233,23,Óbidos,05106
234,23,Oeiras do Pará,05205
235,23,Oriximiná,05304
236,23,Ourém,05403
237,23,Ourilândia do Norte,05437
238,23,Pacajá,05486
239,23,Palestina do Pará,05494
240,23,Paragominas,05502
241,23,Parauapebas,05536
242,23,Pau D'Arco,05551
243,23,Peixe-Boi,05601
244,23,Piçarra,05635
245,23,Placas,05650
246,23,Ponta de Pedras,05700
247,23,Portel,05809
248,23,Porto de Moz,05908
249,23,Prainha,06005
250,23,Primavera,06104
251,23,Quatipuru,06112
252,23,Redenção,06138
253,23,Rio Maria,06161
254,23,Rondon do Pará,06187
255,23,Rurópolis,06195
256,23,Salinópolis,06203
257,23,Salvaterra,06302
258,23,Santa Bárbara do Pará,06351
259,23,Santa Cruz do Arari,06401
260,23,Santa Izabel do Pará,06500
261,23,Santa Luzia do Pará,06559
262,23,Santa Maria das Barreiras,06583
263,23,Santa Maria do Pará,06609
264,23,Santana do Araguaia,06708
265,23,Santarém,06807
266,23,Santarém Novo,06906
267,23,Santo Antônio do Tauá,07003
268,23,São Caetano de Odivelas,07102
269,23,São Domingos do Araguaia,07151
270,23,São Domingos do Capim,07201
271,23,São Félix do Xingu,07300
272,23,São Francisco do Pará,07409
273,23,São Geraldo do Araguaia,07458
274,23,São João da Ponta,07466
275,23,São João de Pirabas,07474
276,23,São João do Araguaia,07508
277,23,São Miguel do Guamá,07607
278,23,São Sebastião da Boa Vista,07706
279,23,Sapucaia,07755
280,23,Senador José Porfírio,07805
281,23,Soure,07904
282,23,Tailândia,07953
283,23,Terra Alta,07961
284,23,Terra Santa,07979
285,23,Tomé-Açu,08001
286,23,Tracuateua,08035
287,23,Trairão,08050
288,23,Tucumã,08084
289,23,Tucuruí,08100
290,23,Ulianópolis,08126
291,23,Uruará,08159
292,23,Vigia,08209
293,23,Viseu,08308
294,23,Vitória do Xingu,08357
295,23,Xinguara,08407
296,3,Amapá,00105
297,3,Calçoene,00204
298,3,Cutias,00212
299,3,Ferreira Gomes,00238
300,3,Itaubal,00253
301,3,Laranjal do Jari,00279
302,3,Macapá,00303
303,3,Mazagão,00402
304,3,Oiapoque,00501
305,3,Pedra Branca do Amapari,00154
306,3,Porto Grande,00535
307,3,Pracuúba,00550
308,3,Santana,00600
309,3,Serra do Navio,00055
310,3,Tartarugalzinho,00709
311,3,Vitória do Jari,00808
312,27,Abreulândia,00251
313,27,Aguiarnópolis,00301
314,27,Aliança do Tocantins,00350
315,27,Almas,00400
316,27,Alvorada,00707
317,27,Ananás,01002
318,27,Angico,01051
319,27,Aparecida do Rio Negro,01101
320,27,Aragominas,01309
321,27,Araguacema,01903
322,27,Araguaçu,02000
323,27,Araguaína,02109
324,27,Araguanã,02158
325,27,Araguatins,02208
326,27,Arapoema,02307
327,27,Arraias,02406
328,27,Augustinópolis,02554
329,27,Aurora do Tocantins,02703
330,27,Axixá do Tocantins,02901
331,27,Babaçulândia,03008
332,27,Bandeirantes do Tocantins,03057
333,27,Barra do Ouro,03073
334,27,Barrolândia,03107
335,27,Bernardo Sayão,03206
336,27,Bom Jesus do Tocantins,03305
337,27,Brasilândia do Tocantins,03602
338,27,Brejinho de Nazaré,03701
339,27,Buriti do Tocantins,03800
340,27,Cachoeirinha,03826
341,27,Campos Lindos,03842
342,27,Cariri do Tocantins,03867
343,27,Carmolândia,03883
344,27,Carrasco Bonito,03891
345,27,Caseara,03909
346,27,Centenário,04105
347,27,Chapada da Natividade,05102
348,27,Chapada de Areia,04600
349,27,Colinas do Tocantins,05508
350,27,Colméia,16703
351,27,Combinado,05557
352,27,Conceição do Tocantins,05607
353,27,Couto Magalhães,06001
354,27,Cristalândia,06100
355,27,Crixás do Tocantins,06258
356,27,Darcinópolis,06506
357,27,Dianópolis,07009
358,27,Divinópolis do Tocantins,07108
359,27,Dois Irmãos do Tocantins,07207
360,27,Dueré,07306
361,27,Esperantina,07405
362,27,Fátima,07553
363,27,Figueirópolis,07652
364,27,Filadélfia,07702
365,27,Formoso do Araguaia,08205
366,27,Goianorte,08304
367,27,Goiatins,09005
368,27,Guaraí,09302
369,27,Gurupi,09500
370,27,Ipueiras,09807
371,27,Itacajá,10508
372,27,Itaguatins,10706
373,27,Itapiratins,10904
374,27,Itaporã do Tocantins,11100
375,27,Jaú do Tocantins,11506
376,27,Juarina,11803
377,27,Lagoa da Confusão,11902
378,27,Lagoa do Tocantins,11951
379,27,Lajeado,12009
380,27,Lavandeira,12157
381,27,Lizarda,12405
382,27,Luzinópolis,12454
383,27,Marianópolis do Tocantins,12504
384,27,Mateiros,12702
385,27,Maurilândia do Tocantins,12801
386,27,Miracema do Tocantins,13205
387,27,Miranorte,13304
388,27,Monte do Carmo,13601
389,27,Monte Santo do Tocantins,13700
390,27,Muricilândia,13957
391,27,Natividade,14203
392,27,Nazaré,14302
393,27,Nova Olinda,14880
394,27,Nova Rosalândia,15002
395,27,Novo Acordo,15101
396,27,Novo Alegre,15150
397,27,Novo Jardim,15259
398,27,Oliveira de Fátima,15507
399,27,Palmas,21000
400,27,Palmeirante,15705
401,27,Palmeiras do Tocantins,13809
402,27,Palmeirópolis,15754
403,27,Paraíso do Tocantins,16109
404,27,Paranã,16208
405,27,Pau D'Arco,16307
406,27,Pedro Afonso,16505
407,27,Peixe,16604
408,27,Pequizeiro,16653
409,27,Pindorama do Tocantins,17008
410,27,Piraquê,17206
411,27,Pium,17503
412,27,Ponte Alta do Bom Jesus,17800
413,27,Ponte Alta do Tocantins,17909
414,27,Porto Alegre do Tocantins,18006
415,27,Porto Nacional,18204
416,27,Praia Norte,18303
417,27,Presidente Kennedy,18402
418,27,Pugmil,18451
419,27,Recursolândia,18501
420,27,Riachinho,18550
421,27,Rio da Conceição,18659
422,27,Rio dos Bois,18709
423,27,Rio Sono,18758
424,27,Sampaio,18808
425,27,Sandolândia,18840
426,27,Santa Fé do Araguaia,18865
427,27,Santa Maria do Tocantins,18881
428,27,Santa Rita do Tocantins,18899
429,27,Santa Rosa do Tocantins,18907
430,27,Santa Tereza do Tocantins,19004
431,27,Santa Terezinha do Tocantins,20002
432,27,São Bento do Tocantins,20101
433,27,São Félix do Tocantins,20150
434,27,São Miguel do Tocantins,20200
435,27,São Salvador do Tocantins,20259
436,27,São Sebastião do Tocantins,20309
437,27,São Valério,20499
438,27,Silvanópolis,20655
439,27,Sítio Novo do Tocantins,20804
440,27,Sucupira,20853
441,27,Tabocão,08254
442,27,Taguatinga,20903
443,27,Taipas do Tocantins,20937
444,27,Talismã,20978
445,27,Tocantínia,21109
446,27,Tocantinópolis,21208
447,27,Tupirama,21257
448,27,Tupiratins,21307
449,27,Wanderlândia,22081
450,27,Xambioá,22107
451,10,Açailândia,00055
452,10,Afonso Cunha,00105
453,10,Água Doce do Maranhão,00154
454,10,Alcântara,00204
455,10,Aldeias Altas,00303
456,10,Altamira do Maranhão,00402
457,10,Alto Alegre do Maranhão,00436
458,10,Alto Alegre do Pindaré,00477
459,10,Alto Parnaíba,00501
460,10,Amapá do Maranhão,00550
461,10,Amarante do Maranhão,00600
462,10,Anajatuba,00709
463,10,Anapurus,00808
464,10,Apicum-Açu,00832
465,10,Araguanã,00873
466,10,Araioses,00907
467,10,Arame,00956
468,10,Arari,01004
469,10,Axixá,01103
470,10,Bacabal,01202
471,10,Bacabeira,01251
472,10,Bacuri,01301
473,10,Bacurituba,01350
474,10,Balsas,01400
475,10,Barão de Grajaú,01509
476,10,Barra do Corda,01608
477,10,Barreirinhas,01707
478,10,Bela Vista do Maranhão,01772
479,10,Belágua,01731
480,10,Benedito Leite,01806
481,10,Bequimão,01905
482,10,Bernardo do Mearim,01939
483,10,Boa Vista do Gurupi,01970
484,10,Bom Jardim,02002
485,10,Bom Jesus das Selvas,02036
486,10,Bom Lugar,02077
487,10,Brejo,02101
488,10,Brejo de Areia,02150
489,10,Buriti,02200
490,10,Buriti Bravo,02309
491,10,Buriticupu,02325
492,10,Buritirana,02358
493,10,Cachoeira Grande,02374
494,10,Cajapió,02408
495,10,Cajari,02507
496,10,Campestre do Maranhão,02556
497,10,Cândido Mendes,02606
498,10,Cantanhede,02705
499,10,Capinzal do Norte,02754
500,10,Carolina,02804
501,10,Carutapera,02903
502,10,Caxias,03000
503,10,Cedral,03109
504,10,Central do Maranhão,03125
